                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     55,                0.93155,                 1.2205,                0.97545,                0.60017,                      1,                  0.995,                0.73741,                0.97292,                 1.3318,                 0.9423,             0.00043958,             0.00043958,             0.00043958
                     56,                 1.0035,                 1.3676,                0.90006,                0.60017,                      1,                  0.995,                0.73741,                0.97292,                 1.3318,                 0.9423,             0.00044469,             0.00044469,             0.00044469
                     57,                0.72543,                0.99507,                0.96799,                0.67228,                      1,                  0.995,                 0.8159,                 0.8987,                 1.3339,                 0.8968,              0.0004497,              0.0004497,              0.0004497
                     58,                 1.0965,                 1.3676,                0.96368,                0.67228,                      1,                  0.995,                 0.8159,                 0.8987,                 1.3339,                 0.8968,             0.00045459,             0.00045459,             0.00045459
                     59,                0.68242,                 1.0808,                 0.8174,                0.67228,                      1,                  0.995,                 0.8159,                 0.8987,                 1.3339,                 0.8968,             0.00045938,             0.00045938,             0.00045938
                     60,                0.81012,                0.95153,                0.88555,                0.72587,                      1,                  0.995,                0.71793,                  1.094,                 1.1943,                0.93183,             0.00046405,             0.00046405,             0.00046405
                     61,                 1.0754,                 1.1227,                0.88673,                0.72587,                      1,                  0.995,                0.71793,                  1.094,                 1.1943,                0.93183,             0.00046862,             0.00046862,             0.00046862
                     62,                0.64872,                0.93852,                0.79291,                0.72587,                      1,                  0.995,                0.71793,                  1.094,                 1.1943,                0.93183,             0.00047308,             0.00047308,             0.00047308
                     63,                 1.1259,                 1.2346,                0.94955,                0.73589,                      1,                  0.995,                0.67831,                 1.1825,                 1.0657,                0.95679,             0.00047742,             0.00047742,             0.00047742
                     64,                 1.0619,                 1.0592,                0.91527,                0.73589,                      1,                  0.995,                0.67831,                 1.1825,                 1.0657,                0.95679,             0.00048166,             0.00048166,             0.00048166
                     65,                0.60764,                 1.1435,                0.99689,                0.73589,                      1,                  0.995,                0.67831,                 1.1825,                 1.0657,                0.95679,             0.00048578,             0.00048578,             0.00048578
                     66,                0.81527,                0.92069,                0.84493,                0.81652,                      1,                  0.995,                0.64675,                 1.1696,                 1.0071,                0.98327,              0.0004898,              0.0004898,              0.0004898
                     67,                 0.7291,                0.86294,                0.89493,                0.81652,                      1,                  0.995,                0.64675,                 1.1696,                 1.0071,                0.98327,              0.0004937,              0.0004937,              0.0004937
                     68,                 1.1437,                 1.0576,                0.86078,                0.81652,                      1,                  0.995,                0.64675,                 1.1696,                 1.0071,                0.98327,              0.0004975,              0.0004975,              0.0004975
                     69,                 1.0343,                 1.0481,                0.94864,                0.86726,                      1,                  0.995,                 0.6368,                 1.1422,                0.92192,                 1.0137,             0.00050119,             0.00050119,             0.00050119
                     70,                 1.2513,                 1.0974,                0.94856,                0.86726,                      1,                  0.995,                 0.6368,                 1.1422,                0.92192,                 1.0137,             0.00050476,             0.00050476,             0.00050476
                     71,                0.70936,                0.97885,                0.96406,                0.86726,                      1,                  0.995,                 0.6368,                 1.1422,                0.92192,                 1.0137,             0.00050823,             0.00050823,             0.00050823
                     72,                0.74477,                  1.131,                0.88059,                0.86909,                      1,                  0.995,                0.64675,                 1.1403,                 1.1684,                 1.0705,             0.00051158,             0.00051158,             0.00051158
                     73,                 1.3597,                 1.3075,                0.93367,                0.86909,                      1,                  0.995,                0.64675,                 1.1403,                 1.1684,                 1.0705,             0.00051483,             0.00051483,             0.00051483
                     74,                 1.3569,                 1.4044,                0.92727,                0.86909,                      1,                  0.995,                0.64675,                 1.1403,                 1.1684,                 1.0705,             0.00051796,             0.00051796,             0.00051796
                     75,                0.88695,                0.94389,                 1.0002,                0.80583,                      1,                  0.995,                 0.6567,                 1.1603,                 1.3015,                 1.0765,             0.00052099,             0.00052099,             0.00052099
                     76,                 0.7397,                0.84779,                 1.0182,                0.80583,                      1,                  0.995,                 0.6567,                 1.1603,                 1.3015,                 1.0765,             0.00052391,             0.00052391,             0.00052391
                     77,                 1.2006,                 1.2617,                 1.0006,                0.80583,                      1,                  0.995,                 0.6567,                 1.1603,                 1.3015,                 1.0765,             0.00052671,             0.00052671,             0.00052671
                     78,                   1.62,                 1.7936,                 1.1721,                0.89217,                    0.8,                  0.995,                 0.7164,                 1.1967,                 1.3971,                 1.0757,             0.00052941,             0.00052941,             0.00052941
                     79,                  1.572,                 1.5804,                 1.0218,                0.89217,                    0.8,                  0.995,                 0.7164,                 1.1967,                 1.3971,                 1.0757,             0.00053199,             0.00053199,             0.00053199
                     80,                 1.3214,                 1.1799,                0.91241,                0.89217,                    0.8,                  0.995,                 0.7164,                 1.1967,                 1.3971,                 1.0757,             0.00053447,             0.00053447,             0.00053447
                     81,                 1.4462,                 1.2073,                 1.1239,                0.62991,                      1,                  0.995,                  0.796,                 1.0295,                 1.3015,                 1.0332,             0.00053684,             0.00053684,             0.00053684
                     82,                    1.1,                 1.3121,                 1.0452,                0.62991,                      1,                  0.995,                  0.796,                 1.0295,                 1.3015,                 1.0332,             0.00053909,             0.00053909,             0.00053909
                     83,                0.83486,                 1.0475,                0.90293,                0.62991,                      1,                  0.995,                  0.796,                 1.0295,                 1.3015,                 1.0332,             0.00054124,             0.00054124,             0.00054124
                     84,                0.88393,                 1.0197,                 1.0047,                0.83579,                      1,                  0.995,                 0.7761,                0.83223,                 1.0595,                 1.0006,             0.00054327,             0.00054327,             0.00054327
                     85,                0.75054,                0.94752,                0.91133,                0.83579,                      1,                  0.995,                 0.7761,                0.83223,                 1.0595,                 1.0006,              0.0005452,              0.0005452,              0.0005452
